Ano,Função,Projeto de Lei,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
2009,13 - Cultura,1089029938,1269804016,1301168119,1119576844,698127505,693473884
2009,14 - Direitos da Cidadania,1786715144,1601260048,1873974809,1569164091,1153235028,1073115150
2009,15 - Urbanismo,4487986371,8108817992,6692946179,4710715910,1660351562,1645801953
2009,16 - Habitação,1526230918,1433657225,1222683225,1010904881,135751268,135751268
2009,17 - Saneamento,2658371000,2204212483,3111855045,3018961464,845073787,842726238
2009,18 - Gestão Ambiental,4365154795,4144671851,4222104845,3697451936,1683427425,1679823267
2009,19 - Ciência e Tecnologia,6187155800,5533109005,6559222739,6190020531,5022103870,4806233001
2009,20 - Agricultura,15494446377,17692173111,18041210737,14722850853,11484870086,11195968971
2009,21 - Organização Agrária,5580586197,5648889186,5643836144,4844686080,2514261605,2499403853
2009,22 - Indústria,3051913344,3150317779,3333413089,1601644758,1335699504,1310899487
2009,23 - Comércio e Serviços,2968813231,5430823309,5374505715,4035522371,1411785927,1402031735
2009,24 - Comunicações,765785194,640387953,752171182,534288749,405440906,404686506
2009,25 - Energia,927183998,831859110,967252460,809965950,645301715,640589059
2009,26 - Transporte,14673938663,14973288136,19290555533,16505399965,8336875157,8072535504
2009,27 - Desporto e Lazer,384646070,1397683667,1463976971,982220417,153651720,145815011
2009,28 - Encargos Especiais,956882752483,951904890244,1056752270372,819086146679,802084315292,801185558243
2009,99 - Reserva de Contingência,27425284530,24635080802,19162344387,0,0,0
2010,01 - Legislativa,5652948776,6117050845,5969445345,5660917499,5307717818,5260848180
2010,02 - Judiciária,22126494061,22401298031,22821806361,22409590849,20941366397,20879991397
2010,03 - Essencial à Justiça,5154548887,5280788915,5599186356,5480593168,5184949453,5167564145
2010,04 - Administração,27002674660,27713589578,21335369306,19988026997,18176206300,17749914198
2010,05 - Defesa Nacional,29825663446,30653087895,34480971517,32281830987,28080919847,27749171103
2010,06 - Segurança Pública,6490449835,7108062942,10881325830,9728282481,8011296335,7948899757
2010,07 - Relações Exteriores,1945970081,1945570081,2215495031,1896692971,1853320420,1850376711
2010,08 - Assistência Social,38423049290,38629489810,39427948943,39112121094,38783345094,38693355345
2010,09 - Previdência Social,312972757598,313168686731,327397238679,326550560034,325893256627,312806794232
2010,10 - Saúde,57384144681,61616920571,64308088232,61873700098,55786738760,55471684625
2010,11 - Trabalho,31206559355,31316761728,31909756777,31449069870,31083325992,31076269450
2010,12 - Educação,44805451335,45905927877,53052036380,48501831189,42110277537,40798812142
2010,13 - Cultura,1289608395,2145266563,2190149718,1385121729,876319129,806630374
2010,14 - Direitos da Cidadania,1868172123,2038584817,2257632712,1830807276,1436818181,1270535600
2010,15 - Urbanismo,3412683242,6549366691,7404312942,4867323965,1914288394,1785531376
2010,16 - Habitação,714708248,726331095,313439095,175457223,21359362,21359009
2010,17 - Saneamento,2206000000,2140693545,2364501070,1745341124,516093377,516091954
2010,18 - Gestão Ambiental,4475796310,4551170877,4875740086,3713043303,2102227126,2077819809
2010,19 - Ciência e Tecnologia,6731142080,7840624145,8075847290,7544768420,5554682577,5322457649
2010,20 - Agricultura,16110935596,19287876864,19796247600,14725094754,9419866552,9047294578
2010,21 - Organização Agrária,4995198575,4978489554,5657657742,4269665683,2304562438,2195602386
2010,22 - Indústria,2157442837,2419320389,2773871127,1804474401,1505916591,1462258621
2010,23 - Comércio e Serviços,2384803777,5768886778,5752916949,3843617546,1481943984,1438435793
2010,24 - Comunicações,820362213,800517813,1186422823,970764011,548798790,545885430
2010,25 - Energia,999702473,1098079479,1112213438,675468306,534312723,505112756
2010,26 - Transporte,20148514798,21149615884,24965031539,20628269501,11973778720,10960126520
2010,27 - Desporto e Lazer,406198137,1517034989,2077487942,1036279595,257279674,256264421
2010,28 - Encargos Especiais,1065559734110,1069968655247,1124410156323,830802451564,810933835234,810824516257
2010,99 - Reserva de Contingência,21161279433,21184044618,13587585353,0,0,0
2011,01 - Legislativa,6526876945,6640472551,6295405530,6046246476,5670334288,5657884904
2011,02 - Judiciária,21919968097,22151690755,22948199518,22519908215,21123150402,21086648555
2011,03 - Essencial à Justiça,5586738312,5775485585,6003973487,5810262324,5373632781,5365684760
2011,04 - Administração,26848009598,26698905512,21209029958,19155409278,17612094718,17236907690
2011,05 - Defesa Nacional,31322332202,32059314873,34122958033,32327448308,27939811060,27801165450
2011,06 - Segurança Pública,7953610823,8041186485,10224416092,7689710749,6469959068,6460868923
2011,07 - Relações Exteriores,1965186036,1926018280,2206972280,1923587870,1903133776,1902706147
2011,08 - Assistência Social,41695935991,41701222373,45965256894,45570866178,45109187177,44847304987
2011,09 - Previdência Social,351168524362,351177355423,361313095702,360039850624,359310137032,346038158533
2011,10 - Saúde,68468385695,71368228613,74557387772,72241422575,63965609060,63822437383
2011,11 - Trabalho,32516917557,32673268547,38145371917,36449372095,35979706472,35978309578
